n,average time
10.0, 115200.0
110.0, 121700.0
210.0, 70600.0
310.0, 73700.0
410.0, 25670.0
510.0, 16000.0
610.0, 19870.0
710.0, 19820.0
810.0, 19880.0
910.0, 20500.0
1010.0, 18460.0
1110.0, 19460.0
1210.0, 36100.0
1310.0, 27140.0
1410.0, 20700.0
1510.0, 19210.0
1610.0, 17920.0
1710.0, 19600.0
1810.0, 16180.0
1910.0, 17300.0
2010.0, 23150.0
2110.0, 20520.0
2210.0, 14180.0
2310.0, 13490.0
2410.0, 15820.0
2510.0, 11160.0
2610.0, 13180.0
2710.0, 11750.0
2810.0, 23700.0
2910.0, 19170.0
3010.0, 17310.0
3110.0, 38080.0
3210.0, 12740.0
3310.0, 13110.0
3410.0, 12460.0
3510.0, 12280.0
3610.0, 10060.0
3710.0, 9930.0
3810.0, 11750.0
3910.0, 9720.0
4010.0, 5270.0
4110.0, 4850.0
4210.0, 4690.0
4310.0, 4440.0
4410.0, 4430.0
4510.0, 4780.0
4610.0, 6750.0
4710.0, 7590.0
4810.0, 4620.0
4910.0, 5740.0
5010.0, 5220.0
5110.0, 4830.0
5210.0, 11220.0
5310.0, 5780.0
5410.0, 9370.0
5510.0, 10890.0
5610.0, 12150.0
5710.0, 15020.0
5810.0, 8970.0
5910.0, 51810.0
6010.0, 10540.0
6110.0, 8500.0
6210.0, 10060.0
6310.0, 10610.0
6410.0, 8030.0
6510.0, 13440.0
6610.0, 9290.0
6710.0, 9890.0
6810.0, 9030.0
6910.0, 7380.0
7010.0, 5660.0
7110.0, 5820.0
7210.0, 5000.0
7310.0, 9990.0
7410.0, 4490.0
7510.0, 5060.0
7610.0, 5700.0
7710.0, 5340.0
7810.0, 6230.0
7910.0, 4540.0
8010.0, 10070.0
8110.0, 4550.0
8210.0, 4700.0
8310.0, 5530.0
8410.0, 4860.0
8510.0, 4910.0
8610.0, 6610.0
8710.0, 5780.0
8810.0, 4930.0
8910.0, 5230.0
9010.0, 6000.0
9110.0, 4990.0
9210.0, 5820.0
9310.0, 6570.0
9410.0, 4870.0
9510.0, 6600.0
9610.0, 5420.0
9710.0, 6790.0
9810.0, 5860.0
9910.0, 6780.0
