n,average time
10.0, 105530.0
110.0, 77490.0
210.0, 63310.0
310.0, 71730.0
410.0, 17470.0
510.0, 17990.0
610.0, 28970.0
710.0, 18730.0
810.0, 19850.0
910.0, 19850.0
1010.0, 21850.0
1110.0, 19300.0
1210.0, 20640.0
1310.0, 22300.0
1410.0, 21250.0
1510.0, 28070.0
1610.0, 18730.0
1710.0, 19990.0
1810.0, 31970.0
1910.0, 21600.0
2010.0, 31830.0
2110.0, 14270.0
2210.0, 11200.0
2310.0, 12250.0
2410.0, 12310.0
2510.0, 9360.0
2610.0, 11530.0
2710.0, 12610.0
2810.0, 18140.0
2910.0, 16130.0
3010.0, 13230.0
3110.0, 9310.0
3210.0, 10390.0
3310.0, 10080.0
3410.0, 10920.0
3510.0, 9810.0
3610.0, 11650.0
3710.0, 10620.0
3810.0, 9070.0
3910.0, 10990.0
4010.0, 4620.0
4110.0, 4650.0
4210.0, 3390.0
4310.0, 3970.0
4410.0, 3370.0
4510.0, 3090.0
4610.0, 3150.0
4710.0, 6770.0
4810.0, 4180.0
4910.0, 3590.0
5010.0, 4000.0
5110.0, 5010.0
5210.0, 6570.0
5310.0, 37070.0
5410.0, 8390.0
5510.0, 14130.0
5610.0, 14160.0
5710.0, 12120.0
5810.0, 12150.0
5910.0, 16720.0
6010.0, 16630.0
6110.0, 10060.0
6210.0, 10710.0
6310.0, 14260.0
6410.0, 11130.0
6510.0, 12180.0
6610.0, 13780.0
6710.0, 8830.0
6810.0, 9730.0
6910.0, 6230.0
7010.0, 3810.0
7110.0, 4690.0
7210.0, 5810.0
7310.0, 4340.0
7410.0, 3490.0
7510.0, 3260.0
7610.0, 3910.0
7710.0, 4050.0
7810.0, 7130.0
7910.0, 3550.0
8010.0, 6360.0
8110.0, 4370.0
8210.0, 4750.0
8310.0, 4430.0
8410.0, 4740.0
8510.0, 5870.0
8610.0, 4270.0
8710.0, 5620.0
8810.0, 4400.0
8910.0, 4350.0
9010.0, 7790.0
9110.0, 7150.0
9210.0, 11670.0
9310.0, 4350.0
9410.0, 5380.0
9510.0, 4370.0
9610.0, 5870.0
9710.0, 2990.0
9810.0, 3030.0
9910.0, 3650.0
