n,average time
10.0, 88200.0
110.0, 80740.0
210.0, 79040.0
310.0, 72550.0
410.0, 23590.0
510.0, 26260.0
610.0, 79850.0
710.0, 41510.0
810.0, 39300.0
910.0, 31260.0
1010.0, 24890.0
1110.0, 22950.0
1210.0, 22300.0
1310.0, 31130.0
1410.0, 30890.0
1510.0, 83920.0
1610.0, 17730.0
1710.0, 20090.0
1810.0, 14090.0
1910.0, 38670.0
2010.0, 16470.0
2110.0, 9390.0
2210.0, 9320.0
2310.0, 13450.0
2410.0, 40700.0
2510.0, 30250.0
2610.0, 28470.0
2710.0, 35920.0
2810.0, 22860.0
2910.0, 19960.0
3010.0, 32570.0
3110.0, 25060.0
3210.0, 7900.0
3310.0, 8040.0
3410.0, 7370.0
3510.0, 7010.0
3610.0, 14180.0
3710.0, 10500.0
3810.0, 11450.0
3910.0, 7750.0
4010.0, 7190.0
4110.0, 8100.0
4210.0, 7010.0
4310.0, 7700.0
4410.0, 27100.0
4510.0, 20050.0
4610.0, 17020.0
4710.0, 17850.0
4810.0, 15440.0
4910.0, 45340.0
5010.0, 25210.0
5110.0, 26880.0
5210.0, 39860.0
5310.0, 30130.0
5410.0, 75540.0
5510.0, 23280.0
5610.0, 28500.0
5710.0, 25790.0
5810.0, 10530.0
5910.0, 9670.0
6010.0, 9240.0
6110.0, 9130.0
6210.0, 19360.0
6310.0, 6950.0
6410.0, 8690.0
6510.0, 9200.0
6610.0, 8510.0
6710.0, 15530.0
6810.0, 7830.0
6910.0, 7970.0
7010.0, 6800.0
7110.0, 8050.0
7210.0, 19760.0
7310.0, 14070.0
7410.0, 8550.0
7510.0, 9190.0
7610.0, 8100.0
7710.0, 8150.0
7810.0, 12270.0
7910.0, 8030.0
8010.0, 8120.0
8110.0, 7990.0
8210.0, 14310.0
8310.0, 10260.0
8410.0, 7570.0
8510.0, 6630.0
8610.0, 23200.0
8710.0, 9050.0
8810.0, 7680.0
8910.0, 7350.0
9010.0, 17500.0
9110.0, 25610.0
9210.0, 28950.0
9310.0, 21880.0
9410.0, 28410.0
9510.0, 21880.0
9610.0, 19090.0
9710.0, 21960.0
9810.0, 21080.0
9910.0, 23830.0
