n,average time
10.0, 85810.0
110.0, 74340.0
210.0, 78720.0
310.0, 73070.0
410.0, 24260.0
510.0, 22990.0
610.0, 26000.0
710.0, 24420.0
810.0, 59970.0
910.0, 47430.0
1010.0, 23540.0
1110.0, 36730.0
1210.0, 27640.0
1310.0, 32750.0
1410.0, 66660.0
1510.0, 33550.0
1610.0, 35730.0
1710.0, 28760.0
1810.0, 35180.0
1910.0, 27730.0
2010.0, 19630.0
2110.0, 10770.0
2210.0, 15870.0
2310.0, 18150.0
2410.0, 31440.0
2510.0, 21410.0
2610.0, 17720.0
2710.0, 16620.0
2810.0, 17340.0
2910.0, 16900.0
3010.0, 15700.0
3110.0, 27340.0
3210.0, 5780.0
3310.0, 5090.0
3410.0, 5000.0
3510.0, 4820.0
3610.0, 4780.0
3710.0, 5120.0
3810.0, 8290.0
3910.0, 11480.0
4010.0, 7680.0
4110.0, 5750.0
4210.0, 5780.0
4310.0, 5680.0
4410.0, 12640.0
4510.0, 16880.0
4610.0, 22250.0
4710.0, 19140.0
4810.0, 17110.0
4910.0, 14650.0
5010.0, 42010.0
5110.0, 16780.0
5210.0, 18210.0
5310.0, 14860.0
5410.0, 15510.0
5510.0, 19430.0
5610.0, 17280.0
5710.0, 12060.0
5810.0, 4660.0
5910.0, 4660.0
6010.0, 11490.0
6110.0, 5460.0
6210.0, 7900.0
6310.0, 4610.0
6410.0, 4650.0
6510.0, 6110.0
6610.0, 8540.0
6710.0, 5530.0
6810.0, 4770.0
6910.0, 5020.0
7010.0, 6470.0
7110.0, 7930.0
7210.0, 7050.0
7310.0, 5230.0
7410.0, 5010.0
7510.0, 6760.0
7610.0, 4890.0
7710.0, 9970.0
7810.0, 5860.0
7910.0, 4780.0
8010.0, 4700.0
8110.0, 7430.0
8210.0, 7540.0
8310.0, 6210.0
8410.0, 4590.0
8510.0, 5190.0
8610.0, 7050.0
8710.0, 4990.0
8810.0, 4660.0
8910.0, 5620.0
9010.0, 15640.0
9110.0, 17700.0
9210.0, 19220.0
9310.0, 13780.0
9410.0, 15710.0
9510.0, 15500.0
9610.0, 14310.0
9710.0, 15250.0
9810.0, 13170.0
9910.0, 16250.0
