n,average time
10.0, 223110.0
110.0, 215260.0
210.0, 236510.0
310.0, 291570.0
410.0, 282740.0
510.0, 463640.0
610.0, 473550.0
710.0, 536940.0
810.0, 626270.0
910.0, 618260.0
1010.0, 768450.0
1110.0, 752110.0
1210.0, 855710.0
1310.0, 1159520.0
1410.0, 1353830.0
1510.0, 1482300.0
1610.0, 1503440.0
1710.0, 1900720.0
1810.0, 2240100.0
1910.0, 2076150.0
2010.0, 2298690.0
2110.0, 2419280.0
2210.0, 2201080.0
2310.0, 2281150.0
2410.0, 2737790.0
2510.0, 2611740.0
2610.0, 2766110.0
2710.0, 2910540.0
2810.0, 2867080.0
2910.0, 3850800.0
3010.0, 3864780.0
3110.0, 3274930.0
3210.0, 3347720.0
3310.0, 4245270.0
3410.0, 4193680.0
3510.0, 3840980.0
3610.0, 3817130.0
3710.0, 3939720.0
3810.0, 4051880.0
3910.0, 4185360.0
4010.0, 3918920.0
4110.0, 3963310.0
4210.0, 5011030.0
4310.0, 4376120.0
4410.0, 4561820.0
4510.0, 4492390.0
4610.0, 4581260.0
4710.0, 4962960.0
4810.0, 5318440.0
4910.0, 5423700.0
5010.0, 5603020.0
5110.0, 5334090.0
5210.0, 6234470.0
5310.0, 7111650.0
5410.0, 6195360.0
5510.0, 6774360.0
5610.0, 6211080.0
5710.0, 6193520.0
5810.0, 5935690.0
5910.0, 6339040.0
6010.0, 6053140.0
6110.0, 6311750.0
6210.0, 7099170.0
6310.0, 7027470.0
6410.0, 7067990.0
6510.0, 6919160.0
6610.0, 6795370.0
6710.0, 6779770.0
6810.0, 7527780.0
6910.0, 7710830.0
7010.0, 7329940.0
7110.0, 7237760.0
7210.0, 7573920.0
7310.0, 1.346949E7
7410.0, 7821930.0
7510.0, 8479240.0
7610.0, 8103640.0
7710.0, 8122340.0
7810.0, 8147430.0
7910.0, 8333320.0
8010.0, 9967020.0
8110.0, 8503260.0
8210.0, 8462800.0
8310.0, 8959900.0
8410.0, 8589330.0
8510.0, 8842280.0
8610.0, 8920100.0
8710.0, 9047520.0
8810.0, 9297950.0
8910.0, 1.006342E7
9010.0, 9745850.0
9110.0, 9902170.0
9210.0, 9886850.0
9310.0, 1.005442E7
9410.0, 9876290.0
9510.0, 1.049454E7
9610.0, 1.023683E7
9710.0, 1.150248E7
9810.0, 1.093118E7
9910.0, 1.058764E7
