n,average time
10.0, 85800.0
110.0, 86750.0
210.0, 100430.0
310.0, 69630.0
410.0, 181380.0
510.0, 41500.0
610.0, 68960.0
710.0, 44310.0
810.0, 39840.0
910.0, 38410.0
1010.0, 36340.0
1110.0, 62380.0
1210.0, 62340.0
1310.0, 49850.0
1410.0, 42560.0
1510.0, 51100.0
1610.0, 41140.0
1710.0, 62530.0
1810.0, 55500.0
1910.0, 50970.0
2010.0, 73730.0
2110.0, 61470.0
2210.0, 57140.0
2310.0, 132280.0
2410.0, 61590.0
2510.0, 63130.0
2610.0, 79270.0
2710.0, 70470.0
2810.0, 81620.0
2910.0, 81940.0
3010.0, 65240.0
3110.0, 74460.0
3210.0, 106030.0
3310.0, 91020.0
3410.0, 90280.0
3510.0, 81820.0
3610.0, 108330.0
3710.0, 85130.0
3810.0, 90310.0
3910.0, 101150.0
4010.0, 110470.0
4110.0, 100180.0
4210.0, 117330.0
4310.0, 111970.0
4410.0, 108860.0
4510.0, 103130.0
4610.0, 115390.0
4710.0, 115430.0
4810.0, 121800.0
4910.0, 116410.0
5010.0, 120090.0
5110.0, 123690.0
5210.0, 113790.0
5310.0, 136140.0
5410.0, 138660.0
5510.0, 126030.0
5610.0, 126510.0
5710.0, 149750.0
5810.0, 126220.0
5910.0, 131850.0
6010.0, 161920.0
6110.0, 140040.0
6210.0, 172720.0
6310.0, 138040.0
6410.0, 158010.0
6510.0, 194300.0
6610.0, 175040.0
6710.0, 175840.0
6810.0, 532100.0
6910.0, 179740.0
7010.0, 170000.0
7110.0, 180690.0
7210.0, 168980.0
7310.0, 188790.0
7410.0, 171650.0
7510.0, 174570.0
7610.0, 227840.0
7710.0, 206860.0
7810.0, 192040.0
7910.0, 190250.0
8010.0, 209530.0
8110.0, 203410.0
8210.0, 189510.0
8310.0, 233250.0
8410.0, 261700.0
8510.0, 216500.0
8610.0, 198640.0
8710.0, 212110.0
8810.0, 296330.0
8910.0, 235950.0
9010.0, 240040.0
9110.0, 209370.0
9210.0, 275940.0
9310.0, 236010.0
9410.0, 226760.0
9510.0, 253400.0
9610.0, 257980.0
9710.0, 244230.0
9810.0, 280060.0
9910.0, 237820.0
